msn_code,src_code,sec_code
CLCCB,col,com
CLCCD,col,com
CLCCV,col,com
ESCCB,ele,com
ESCCD,ele,com
ESCCP,ele,com
ESCCV,ele,com
NGCCB,gas,com
NGCCD,gas,com
NGCCV,gas,com
PACCB,oil,com
PACCD,oil,com
PACCV,oil,com
CLEIB,col,ele
CLEID,col,ele
CLEIV,col,ele
NGEIB,gas,ele
NGEID,gas,ele
NGEIV,gas,ele
GEEGP,ge,ele
HYEGP,hy,ele
NUEGP,nu,ele
PAEIB,oil,ele
PAEID,oil,ele
PAEIV,oil,ele
SOEGP,so,ele
WYEGP,wy,ele
ELEXB,ele,exports
ELEXD,ele,exports
ELEXP,ele,exports
ELEXV,ele,exports
ELIMB,ele,imports
ELIMD,ele,imports
ELIMP,ele,imports
ELIMV,ele,imports
CLICB,col,ind
CLICD,col,ind
CLICV,col,ind
COICB,cru,ind
ESICB,ele,ind
ESICD,ele,ind
ESICP,ele,ind
ESICV,ele,ind
NGICB,gas,ind
NGICD,gas,ind
NGICV,gas,ind
PAICB,oil,ind
PAICD,oil,ind
PAICV,oil,ind
ELISB,ele,netgen
ELISP,ele,netgen
CLRFB,col,ref
P5RFB,cru,ref
ESRFB,ele,ref
NGRFB,gas,ref
DFRFB,oil,ref
HLRFB,oil,ref
PCRFB,oil,ref
RFRFB,oil,ref
CLRCB,col,res
CLRCD,col,res
CLRCV,col,res
ESRCB,ele,res
ESRCD,ele,res
ESRCP,ele,res
ESRCV,ele,res
NGRCB,gas,res
NGRCD,gas,res
NGRCV,gas,res
PARCB,oil,res
PARCD,oil,res
PARCV,oil,res
CLPRB,col,supply
COPRK,cru,supply
PAPRB,cru,supply
NGMPB,gas,supply
CLACB,col,trn
CLACD,col,trn
CLACV,col,trn
ESACB,ele,trn
ESACD,ele,trn
ESACP,ele,trn
ESACV,ele,trn
NGACB,gas,trn
NGACD,gas,trn
NGACV,gas,trn
AVACB,oil,trn
DFACB,oil,trn
HLACB,oil,trn
JFACB,oil,trn
LUACB,oil,trn
MGACB,oil,trn
PAACD,oil,trn
PAACV,oil,trn
RFACB,oil,trn
GDPRX,gdp,
TPOPP,pop,
GDPRV,rgdp,
