naics_code,detail_code,naics_desc,detail_desc
11211,bef_agr,"Beef cattle ranching and farming, including feedlots","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
11212,dry_agr,Dairy cattle and milk production,Dairy cattle and milk production
1123,egg_agr,Poultry and egg production,Poultry and egg production
1114,flo_agr,"Greenhouse, nursery, and floriculture production","Greenhouse, nursery, and floriculture production"
11113,grn_agr,Dry pea and bean farming,Grain farming
11114,grn_agr,Wheat farming,Grain farming
11115,grn_agr,Corn farming,Grain farming
11116,grn_agr,Rice farming,Grain farming
11119,grn_agr,Other grain farming,Grain farming
1113,nut_agr,Fruit and tree nut farming,Fruit and tree nut farming
11111,oil_agr,Soybean farming,Oilseed farming
11112,oil_agr,Oilseed (except soybean) farming,Oilseed farming
1122,ota_agr,Hog and pig farming,"Animal production, except cattle and poultry and eggs"
1124,ota_agr,Sheep and goat farming,"Animal production, except cattle and poultry and eggs"
1125,ota_agr,Aquaculture,"Animal production, except cattle and poultry and eggs"
1129,ota_agr,Other animal production,"Animal production, except cattle and poultry and eggs"
1119,oth_agr,Other crop farming,Other crop farming
1112,veg_agr,Vegetable and melon farming,Vegetable and melon farming
