sctg_code,naics_code,summary_code,sctg_desc,naics_desc,summary_desc
1,,agr,Animals and Fish (live),,Farms
2,,agr,Cereal Grains (includes seed),,Farms
3,,agr,"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)",,Farms
4,,agr,"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",,Farms
5,,agr,"Meat, Poultry, Fish, Seafood, and Their Preparations",,Farms
30,313,alt,"Textiles, Leather, and Articles of Textiles or Leather",Textile mills,Apparel and leather and allied products
30,314,alt,"Textiles, Leather, and Articles of Textiles or Leather",Textile product mills,Apparel and leather and allied products
30,315,alt,"Textiles, Leather, and Articles of Textiles or Leather",Apparel manufacturing,Apparel and leather and allied products
35,334,cep,"Electronic and Other Electrical Equipment and Components, and Office Equipment",Computer and electronic product manufacturing,Computer and electronic products
35,335,cep,"Electronic and Other Electrical Equipment and Components, and Office Equipment","Electrical equipment, appliance, and component manufacturing",Computer and electronic products
20,325,che,Basic Chemicals,Chemical manufacturing,Chemical products
21,325,che,Pharmaceutical Products,Chemical manufacturing,Chemical products
22,325,che,Fertilizers,Chemical manufacturing,Chemical products
23,325,che,Other Chemical Products and Preparations,Chemical manufacturing,Chemical products
35,334,eec,"Electronic and Other Electrical Equipment and Components, and Office Equipment",Computer and electronic product manufacturing,"Electrical equipment, appliances, and components"
35,335,eec,"Electronic and Other Electrical Equipment and Components, and Office Equipment","Electrical equipment, appliance, and component manufacturing","Electrical equipment, appliances, and components"
4,,fbp,"Animal Feed, Eggs, Honey, and Other Products of Animal Origin",,Food and beverage and tobacco products
5,,fbp,"Meat, Poultry, Fish, Seafood, and Their Preparations",,Food and beverage and tobacco products
6,,fbp,"Milled Grain Products and Preparations, and Bakery Products",,Food and beverage and tobacco products
7,,fbp,"Other Prepared Foodstuffs, and Fats and Oils",,Food and beverage and tobacco products
8,,fbp,Alcoholic Beverages and Denatured Alcohol,,Food and beverage and tobacco products
9,,fbp,Tobacco Products,,Food and beverage and tobacco products
33,332,fmt,Articles of Base Metal,Fabricated metal product manufacturing,Fabricated metal products
25,113,fof,Logs and Other Wood in the Rough,Forestry and logging,"Forestry, fishing, and related activities"
1,,fof,Animals and Fish (live),,"Forestry, fishing, and related activities"
39,337,fpd,"Furniture, Mattresses and Mattress Supports, Lamps, Lighting Fittings, and Illuminated Signs",Furniture and related product manufacturing,Furniture and related products
34,333,mch,Machinery,Machinery manufacturing,Machinery
10,212,min,Monumental or Building Stone,Mining (except oil and gas),"Mining, except oil and gas"
11,212,min,Natural Sands,Mining (except oil and gas),"Mining, except oil and gas"
12,212,min,Gravel and Crushed Stone (excludes Dolomite and Slate),Mining (except oil and gas),"Mining, except oil and gas"
13,212,min,Other Non-Metallic Minerals not elsewhere classified,Mining (except oil and gas),"Mining, except oil and gas"
14,212,min,Metallic Ores and Concentrates,Mining (except oil and gas),"Mining, except oil and gas"
38,339,mmf,Precision Instruments and Apparatus,Miscellaneous manufacturing,Miscellaneous manufacturing
40,339,mmf,Miscellaneous Manufactured Products,Miscellaneous manufacturing,Miscellaneous manufacturing
36,336,mot,Motorized and Other Vehicles (includes parts),Transportation equipment manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing"
31,327,nmp,Non-Metallic Mineral Products,Nonmetallic mineral product manufacturing,Nonmetallic mineral products
17,324,oil,"Gasoline, Aviation Turbine Fuel, and Ethanol (includes Kerosene, and Fuel Alcohols)",Petroleum and coal products manufacturing,Oil and gas extraction
18,324,oil,"Fuel Oils (includes Diesel, Bunker C, and Biodiesel)",Petroleum and coal products manufacturing,Oil and gas extraction
37,336,ote,"Transportation Equipment, not elsewhere classified",Transportation equipment manufacturing,Other transportation equipment
19,324,pet,"Other Coal and Petroleum Products, not elsewhere classified",Petroleum and coal products manufacturing,Petroleum and coal products
24,326,pla,Plastics and Rubber,Plastics and rubber products manufacturing,Plastics and rubber products
32,331,pmt,Base Metal in Primary or Semi-Finished Forms and in Finished Basic Shapes,Primary metal manufacturing,Primary metals
27,322,ppd,"Pulp, Newsprint, Paper, and Paperboard",Paper manufacturing,Paper products
28,322,ppd,Paper or Paperboard Articles,Paper manufacturing,Paper products
29,323,pri,Printed Products,Printing and related support activities,Printing and related support activities
30,313,tex,"Textiles, Leather, and Articles of Textiles or Leather",Textile mills,Textile mills and textile product mills
30,314,tex,"Textiles, Leather, and Articles of Textiles or Leather",Textile product mills,Textile mills and textile product mills
30,315,tex,"Textiles, Leather, and Articles of Textiles or Leather",Apparel manufacturing,Textile mills and textile product mills
41,,use,"Waste and Scrap (excludes of agriculture or food, see 041xx)",,"Scrap, used and secondhand goods"
26,321,wpd,Wood Products,Wood product manufacturing,Wood products
2,111,,,Crop production,
3,111,,,Crop production,
1,112,,,Animal production and aquaculture,
16,211,,Crude Petroleum,Oil and gas extraction,
15,2121,,Coal,Coal mining,
4,311,,,Food manufacturing,
5,311,,,Food manufacturing,
6,311,,,Food manufacturing,
7,311,,,Food manufacturing,
8,312,,,Beverage and tobacco product manufacturing,
9,312,,,Beverage and tobacco product manufacturing,
0,,,SCTG suppressed,,
43,,,Mixed Freight,,
99,,,Missing Code,,
