si_code,naics_code,summary_code,si_desc
4,111,agr,Farms
4,112,agr,Farms
5,113,fof,"Forestry, fishing, and related activities"
5,114,fof,"Forestry, fishing, and related activities"
5,115,fof,"Forestry, fishing, and related activities"
7,211,oil,Oil and gas extraction
8,212,min,"Mining, except oil and gas"
9,213,smn,Support activities for mining
10,22,uti,Utilities
11,23,con,Construction
14,321,wpd,Wood products manufacturing
15,327,nmp,Nonmetallic mineral products manufacturing
16,331,pmt,Primary metals manufacturing
17,332,fmt,Fabricated metal products
18,333,mch,Machinery manufacturing
19,334,cep,Computer and electronic products manufacturing
20,335,eec,"Electrical equipment, appliance, and components manufacturing"
21,3361,mot,"Motor vehicles, bodies and trailers, and parts manufacturing"
21,3362,mot,"Motor vehicles, bodies and trailers, and parts manufacturing"
21,3363,mot,"Motor vehicles, bodies and trailers, and parts manufacturing"
22,3364,ote,Other transportation equipment manufacturing
22,3365,ote,Other transportation equipment manufacturing
22,3366,ote,Other transportation equipment manufacturing
22,3369,ote,Other transportation equipment manufacturing
23,337,fpd,Furniture and related products manufacturing
24,339,mmf,Miscellaneous manufacturing
26,311,fbp,Food and beverage and tobacco products manufacturing
26,312,fbp,Food and beverage and tobacco products manufacturing
27,313,tex,Textile mills and textile product mills
27,314,tex,Textile mills and textile product mills
28,315,alt,Apparel and leather and allied products manufacturing
28,316,alt,Apparel and leather and allied products manufacturing
29,322,ppd,Paper products manufacturing
30,323,pri,Printing and related support activities
31,324,pet,Petroleum and coal products manufacturing
32,325,che,Chemical products manufacturing
33,326,pla,Plastics and rubber products manufacturing
34,42,wht,Wholesale trade
35,44-45,fbt,Retail trade
35,44-45,gmt,Retail trade
35,44-45,mvt,Retail trade
35,44-45,ott,Retail trade
37,481,air,Air transportation
38,482,trn,Rail transportation
39,483,wtt,Water transportation
40,484,trk,Truck transportation
41,485,grd,Transit and ground passenger transportation
42,486,pip,Pipeline transportation
43,487,otr,Other transportation and support activities
43,488,otr,Other transportation and support activities
43,492,otr,Other transportation and support activities
44,493,wrh,Warehousing and storage
46,511,pub,"Publishing industries, except Internet (includes software)"
47,512,mov,Motion picture and sound recording industries
48,515,brd,Broadcasting and telecommunications
48,517,brd,Broadcasting and telecommunications
49,518,dat,"Data processing, internet publishing, and other information services"
49,519,dat,"Data processing, internet publishing, and other information services"
52,521,bnk,"Federal Reserve banks, credit intermediation, and related services"
52,522,bnk,"Federal Reserve banks, credit intermediation, and related services"
53,523,sec,"Securities, commodity contracts, and investments"
54,524,ins,Insurance carriers and related activities
55,525,fin,"Funds, trusts, and other financial vehicles"
57,531,hou,Real estate
57,531,ore,Real estate
58,532,rnt,Rental and leasing services and lessors of intangible assets
58,533,rnt,Rental and leasing services and lessors of intangible assets
61,5411,leg,Legal services
62,5415,com,Computer systems design and related services
63,5412,tsv,"Miscellaneous professional, scientific, and technical services"
63,5413,tsv,"Miscellaneous professional, scientific, and technical services"
63,5414,tsv,"Miscellaneous professional, scientific, and technical services"
63,5416,tsv,"Miscellaneous professional, scientific, and technical services"
63,5417,tsv,"Miscellaneous professional, scientific, and technical services"
63,5418,tsv,"Miscellaneous professional, scientific, and technical services"
63,5419,tsv,"Miscellaneous professional, scientific, and technical services"
64,55,man,Management of companies and enterprises
66,561,adm,Administrative and support services
67,562,wst,Waste management and remediation services
69,61,edu,Educational services
71,621,amb,Ambulatory health care services
72,622,hos,Hospitals and nursing and residential care facilities
72,623,hos,Hospitals and nursing and residential care facilities
72,622,nrs,Hospitals and nursing and residential care facilities
72,623,nrs,Hospitals and nursing and residential care facilities
73,624,soc,Social assistance
76,711,art,"Performing arts, spectator sports, museums, and related activities"
76,712,art,"Performing arts, spectator sports, museums, and related activities"
77,713,rec,"Amusements, gambling, and recreation industries"
79,721,amd,Accommodation
80,722,res,Food services and drinking places
81,81,osv,"Other services, except government"
83,,fen,Federal civilian
83,,fnd,Federal civilian
84,,fdd,Federal military
85,,sle,State and local
85,,slg,State and local
